popularity;acousticness;danceability;duration_ms;energy;instrumentalness;key;liveness;loudness;mode;speechiness;valence;music_genre
45;0.00135;0.849;254520;0.509;0.135;9;0.118;-10.47;1;0.119;0.335;Electronic
36;0.0135;0.638;365253;0.692;0.882;9;0.133;-8.238;0;0.0405;0.453999999999999;Electronic
36;0.0365;0.657;255107;0.467999999999999;0.921;4;0.0737;-6.877;1;0.0278;0.193;Electronic
40;0.00147;0.584;318720;0.800999999999999;0.00182;0;0.196999999999999;-4.526;0;0.0438;0.467999999999999;Electronic
34;0.0001;0.63;-1;0.667999999999999;0.37;9;0.12;-8.38;1;0.0354;0.15;Electronic
50;0.0556;0.648;356800;0.586;0.75;0;0.133;-11.66;0;0.0284;0.393999999999999;Electronic
40;0.0924;0.785;317240;0.865;0.873;2;0.109;-10.809;0;0.0387;0.787999999999999;Electronic
38;0.129;0.857;519643;0.35;0.735;9;0.107;-13.157;1;0.0844;0.296;Electronic
52;0.00357;0.512;187722;0.789;0;1;0.261;-7.617;0;0.387999999999999;0.687;Electronic
38;0.0275;0.660999999999999;-1;0.511;0.517;3;0.275;-8.948;1;0.0312;0.577;Electronic
37;0.111;0.758;272613;0.638;0.8;9;0.156;-6.426;1;0.0514;0.753;Electronic
36;0.166;0.462;171000;0.951;0;4;0.222;-5.848;1;0.739;0.435;Electronic
38;0.477;0.711;240027;0.568;0.0000203;2;0.0492;-9.247;0;0.0313;0.589;Electronic
39;0.0000406;0.515;249467;0.708;0.434;0;0.1;-9.693;1;0.0323;0.486;Electronic
34;0.188999999999999;0.708;228505;0.833;0.0277;7;0.572;-5.126;0;0.04;0.843;Electronic
32;0.731;0.23;128640;0.424;0.3;5;0.155;-11.326;1;0.0356;0.391;Electronic
35;0.854;0.551;253413;0.242;0.00000153;1;0.114;-12.004;1;0.0272;0.201;Electronic
42;0.0641;0.807999999999999;229549;0.569;0.00492;4;0.118;-9.684;0;0.258;0.347;Electronic
23;0.00134;0.569;427680;0.519;0.488;4;0.187;-7.108;0;0.0491;0.081;Electronic
24;0.784;0.471;311187;0.608;0.457;1;0.121;-10.954;1;0.0446;0.0378;Electronic
37;0.254;0.653;222500;0.852;0.0543;9;0.0785;-7.21399999999999;0;0.0375;0.252;Electronic
37;0.00527;0.664;196280;0.728;0.00985;8;0.113;-4.849;1;0.196;0.807999999999999;Electronic
44;0.0103;0.61;-1;0.723;0.0447;6;0.0748;-7.572;1;0.0422;0.45;Electronic
41;0.133;0.754;143987;0.77;0.747;2;0.293;-7.83;0;0.0272;0.904;Electronic
32;0.0374;0.442;220269;0.807;0.00116;4;0.108;-5.777;1;0.0763;0.106;Electronic
30;0.000302;0.618;339920;0.518;0.00627;0;0.106;-7.174;0;0.0288;0.271;Electronic
40;0.0052;0.853;281667;0.536;0.0000085;4;0.0695;-10.704;1;0.226;0.361;Electronic
29;0.0285;0.775;-1;0.895;0.000109;3;0.158;-3.851;0;0.0544;0.519;Electronic
38;0.837;0.417;158351;0.368;0.0026;6;0.212;-10.472;0;0.0509;0.0709;Electronic
33;0.764;0.518;227547;0.484;0;9;0.622;-9.524;1;0.0271;0.376;Electronic
36;0.00107;0.447999999999999;259867;0.91;0.0000266;11;0.397999999999999;-4.88899999999999;1;0.0372;0.624;Electronic
40;0.00968;0.871;202268;0.843;0.697;1;0.111;-5.447;0;0.0885;0.877;Electronic
38;0.111999999999999;0.792999999999999;251560;0.456;0.000416;7;0.311;-10.302;1;0.264;0.602;Electronic
32;0.0839;0.721;134840;0.867;0.898;6;0.0959;-7.375;0;0.0346;0.532999999999999;Electronic
47;0.0721;0.84;521867;0.772;0.534;1;0.0536;-9.754;0;0.15;0.795999999999999;Electronic
39;0.0379;0.722;373587;0.521;0.653;1;0.662999999999999;-10.849;1;0.0623;0.322999999999999;Electronic
31;0.0885;0.763;-1;0.911;0.757;10;0.138;-7.65799999999999;1;0.0336;0.721;Electronic
39;0.0038299999999999;0.48;203506;0.818;0.0000782999999999999;10;0.147;-4.67899999999999;1;0.0308;0.354;Electronic
37;0.221;0.775;164217;0.527;0.0187;3;0.0875;-10.047;1;0.0317;0.437999999999999;Electronic
31;0.00258;0.765;449960;0.514;0.906;7;0.401;-13.111;0;0.0732;0.211;Electronic
40;0.966;0.716;219173;0.403999999999999;0.909;6;0.107;-13.79;0;0.0437;0.565;Electronic
38;0.00249;0.742;200000;0.691;0;11;0.0285;-2.88;0;0.0707;0.532;Electronic
30;0.00647;0.817;177707;0.902;0.0000101;4;0.12;-5.021;0;0.18;0.53;Electronic
38;0.0598;0.437999999999999;316600;0.913;0;3;0.107;-4.458;0;0.0858;0.328999999999999;Electronic
23;0.0457;0.612;490133;0.436;0.859;1;0.674;-11.014;0;0.0252;0.0365;Electronic
35;0.17;0.709;354480;0.807;0.000736;5;0.25;-6.531;1;0.0704;0.92;Electronic
38;0.272;0.77;289987;0.442;0.000014;6;0.32;-7.676;0;0.0275;0.612;Electronic
37;0.118;0.327999999999999;299970;0.699;0.00000203;1;0.113;-6.613;0;0.042;0.38;Electronic
50;0.196999999999999;0.643;347467;0.825;0.961;4;0.115999999999999;-8.543;1;0.0352;0.765999999999999;Electronic
29;0.525;0.322999999999999;232040;0.214;0.00755;9;0.124;-14.044;0;0.0342;0.0606;Electronic
35;0.5;0.252;-1;0.364;0.974;5;0.621;-11.373;1;0.0277;0.0749;Electronic
37;0.268999999999999;0.502;-1;0.76;0.159;3;0.729;-7.707;1;0.0407;0.42;Electronic
38;0.0183;0.511;187600;0.753;0.0506;1;0.085;-7.361;1;0.0268;0.73;Electronic
24;0.00305;0.571;185147;0.911;0.244;7;0.0785;-5.872;1;0.0526;0.774;Electronic
25;0.0312;0.729;306360;0.926;0.0213;9;0.153;-5.051;0;0.0423;0.501;Electronic
29;0.0188;0.623;230413;0.672;0.0508;2;0.103;-5.58;0;0.0234;0.332;Electronic
41;0.00171;0.837;206875;0.721;0.249;4;0.368;-5.26;1;0.0428;0.853;Electronic
57;0.0309;0.733;215000;0.547;0;8;0.0882;-7.79;0;0.0776;0.268;Electronic
34;0.546;0.255;153600;0.58;0.22;11;0.195;-9.645;0;0.0428;0.204;Electronic
51;0.723;0.865;307547;0.442999999999999;0.144;6;0.0877;-14.168;0;0.16;0.689;Electronic
38;0.172;0.696;247889;0.421;0.0251;4;0.198;-10.089;1;0.0315;0.938;Electronic
44;0.371;0.825;385520;0.467;0.845;8;0.0594;-14.055;1;0.0753;0.249;Electronic
45;0.134;0.660999999999999;188800;0.809;0.000027;3;0.107;-4.584;1;0.0248;0.949;Electronic
36;0.0207;0.574;255147;0.88;0.0286;5;0.201;-7.05;0;0.035;0.857;Electronic
41;0.000179;0.682999999999999;222550;0.743;0.436;5;0.0763;-4.941;1;0.0341;0.567;Electronic
33;0.134;0.436;212533;0.804;0.657;7;0.382999999999999;-7.387;1;0.0596;0.458999999999999;Electronic
37;0.332999999999999;0.792999999999999;509107;0.479;0.907;2;0.0279;-10.759;1;0.0822;0.645;Electronic
24;0.0559;0.733;267050;0.625;0.784;1;0.143;-7.676;0;0.0396;0.557;Electronic
33;0.00158;0.55;259800;0.931;0.204;6;0.0992;-7.122;0;0.0534;0.203;Electronic
96;0.153;0.841;212500;0.797999999999999;0.00000333;4;0.0618;-4.206;0;0.228999999999999;0.591;Electronic
52;0.0143;0.631;261240;0.84;0;5;0.0712;-6.025;1;0.0285;0.653;Electronic
22;0.314;0.618;202717;0.829;0;0;0.536;-4.34;0;0.155;0.291;Electronic
45;0.0676;0.752;193147;0.680999999999999;0.382;2;0.174;-7.397;0;0.0298;0.713;Electronic
30;0.125;0.332;279825;0.722;0.198999999999999;4;0.114;-8.251;1;0.198;0.371;Electronic
38;0.680999999999999;0.702;268080;0.807;0;5;0.516;-5.865;0;0.135;0.864;Electronic
30;0.362;0.415;279107;0.672999999999999;0.0403;5;0.183;-9.948;1;0.0464;0.472;Electronic
34;0.03;0.455;226867;0.939;0.9;3;0.355;-5.6;1;0.0562;0.44;Electronic
46;0.0148;0.471;163013;0.813;0.161;5;0.31;-6.04799999999999;1;0.119;0.762;Electronic
33;0.502;0.672;365680;0.491;0.933;4;0.116999999999999;-13.902;1;0.0324;0.0724;Electronic
58;0.0000805;0.534;156632;0.957;0.758;4;0.266;-4.025;1;0.0455;0.52;Electronic
39;0.0285;0.787999999999999;333400;0.384;0.864;4;0.0499;-11.916;0;0.0702;0.745;Electronic
40;0.276;0.718;369662;0.655;0.856;7;0.107;-10.731;0;0.0331;0.649;Electronic
53;0.503;0.714;243373;0.689;0.00134;9;0.1;-6.53799999999999;1;0.04;0.883;Electronic
38;0.136999999999999;0.494;205160;0.357;0.667;4;0.131;-17.063;1;0.0343;0.292;Electronic
35;0.843;0.552;288600;0.256;0.918;5;0.106;-17.753;1;0.0306;0.0399;Electronic
33;0.0378;0.818;222227;0.662999999999999;0.907;2;0.0478;-7.443;1;0.0731;0.162;Electronic
30;0.0704;0.767;273933;0.862;0.0000354;7;0.111999999999999;-6.347;0;0.221;0.809;Electronic
47;0.657;0.645999999999999;316304;0.634;0.852;9;0.109;-9.657;0;0.0429;0.124;Electronic
27;0.0633;0.672;293053;0.773;0.809;9;0.114;-5.99;0;0.0404;0.0653;Electronic
35;0.44;0.723;209653;0.667;0.079;2;0.123;-5.556;0;0.0496;0.25;Electronic
35;0.00117;0.577;256244;0.954;0.324;9;0.288;-2.56;0;0.0495;0.46;Electronic
47;0.337;0.635;306840;0.784;0.917;9;0.152;-7.718;0;0.0312;0.31;Electronic
50;0.171;0.670999999999999;246707;0.497;0.536;3;0.100999999999999;-9.787;0;0.0552;0.114;Electronic
40;0.755;0.624;222215;0.544;0.913;7;0.100999999999999;-11.335;0;0.0378;0.149;Electronic
52;0.575;0.733;364453;0.561;0.872;3;0.131;-10.687;0;0.0464;0.568;Electronic
35;0.00292;0.691;-1;0.57;0.0113;1;0.235;-7.965;0;0.08;0.182;Electronic
22;0.000252;0.542;376400;0.566;0.914;5;0.106;-10.3909999999999;1;0.0315;0.136;Electronic
20;0.0000204;0.593;281053;0.789;0.00238;2;0.128;-4.845;1;0.0255;0.792999999999999;Electronic
37;0.03;0.608;-1;0.797;0.835;3;0.389;-9.336;1;0.0393;0.138;Electronic
32;0.00243;0.601;218012;0.725;0.0791;3;0.0559;-6.04299999999999;1;0.0246;0.47;Electronic
29;0.000405;0.665999999999999;272571;0.955;0.497;6;0.551;-3.62;0;0.0391;0.552999999999999;Electronic
31;0.00108;0.741;-1;0.67;0.821;4;0.276;-5.595;1;0.0435;0.223999999999999;Electronic
23;0.0163;0.524;-1;0.782;0.755;9;0.0754;-7.967;1;0.0364;0.0763;Electronic
53;0.0425;0.669;253099;0.689;0.00166;8;0.100999999999999;-7.239;0;0.0582;0.0992;Electronic
31;0.0806;0.679;253793;0.792;0.648;10;0.0924;-5.32;0;0.0541;0.33;Electronic
22;0.00252;0.387;323396;0.835;0.000305;0;0.299;-6.947;0;0.072;0.369;Electronic
38;0.00422;0.489;286347;0.672;0.272;8;0.108;-10.34;0;0.0294;0.699;Electronic
29;0.000105;0.638;333960;0.91;0.928;0;0.119;-15.541;0;0.0435;0.51;Electronic
43;0.0477;0.672999999999999;268800;0.652;0.12;10;0.119;-9.051;0;0.0702;0.738;Electronic
32;0.00058;0.664;-1;0.83;0.113;1;0.338999999999999;-5.021;0;0.0463;0.906;Electronic
34;0.011;0.794;247641;0.524;0.742;1;0.103;-10.79;1;0.0598;0.114;Electronic
28;0.031;0.785;-1;0.569;0.178;8;0.138;-6.198;0;0.176;0.768;Electronic
55;0.0014;0.297;241173;0.637;0.18;3;0.247;-7.926;0;0.0336;0.332;Electronic
34;0.699;0.851;415891;0.155;0.922;0;0.111999999999999;-10.755;0;0.0898;0.511;Electronic
44;0.0272;0.153;355467;0.749;0.0000377;4;0.0724;-5.86;1;0.0329;0.242;Electronic
50;0.0846;0.508;230533;0.807999999999999;0.000727;3;0.0719;-12.496;0;0.0403;0.209;Electronic
42;0.107;0.734;150366;0.804;0.347;4;0.111;-5.631;1;0.0304;0.779;Electronic
31;0.127;0.684;298723;0.797999999999999;0.268;9;0.0779;-6.33799999999999;1;0.0736;0.576;Electronic
37;0.0544;0.797;206160;0.624;0.00822;8;0.278999999999999;-9.176;1;0.0714;0.547;Electronic
31;0.00115;0.71;273360;0.361;0.878;4;0.0538;-14.57;1;0.0536;0.879;Electronic
24;0.000586;0.738;253093;0.805999999999999;0.743;9;0.314;-6.436;1;0.0352;0.407;Electronic
59;0.173;0.542;237827;0.749;0.942;8;0.315;-8.333;0;0.0277;0.674;Electronic
44;0.0000477;0.608;250867;0.738;0.767;5;0.337999999999999;-4.134;0;0.0259;0.586;Electronic
49;0.243;0.518;209362;0.989;0.755;9;0.239;-2.997;1;0.0771;0.0856;Electronic
38;0.0648;0.739;219828;0.584;0.873;2;0.259;-5.485;0;0.0542;0.59;Electronic
32;0.178;0.753;242840;0.677;0.433;2;0.345;-6.309;0;0.0315;0.458999999999999;Electronic
34;0.699;0.534;354000;0.473;0.883;9;0.131;-13.552;1;0.0371;0.0377;Electronic
54;0.316;0.792;310747;0.599;0.931;11;0.111;-13.647;1;0.141;0.57;Electronic
33;0.366;0.67;329266;0.679;0.716;3;0.102;-17.153;1;0.0572;0.268999999999999;Electronic
40;0.168;0.493;372618;0.804;0.924;5;0.0608;-8.645;1;0.0299;0.0358;Electronic
34;0.0139999999999999;0.717;195484;0.582;0.000609;9;0.148;-8.121;1;0.0788;0.585;Electronic
34;0.00197;0.664;239400;0.74;0.0415;9;0.259;-6.806;1;0.0623;0.576;Electronic
47;0.00465;0.486;199187;0.739;0;5;0.0428;-2.714;0;0.0255;0.273999999999999;Electronic
39;0.00465;0.486;199187;0.739;0;5;0.0428;-2.714;0;0.0255;0.273999999999999;Electronic
43;0.154;0.568;272800;0.707;0.898;0;0.116999999999999;-7.07;0;0.0384;0.623;Electronic
27;0.00917;0.519;240870;0.838;0.000758;0;0.284;-4.754;0;0.0416;0.54;Electronic
60;0.222;0.587;-1;0.667999999999999;0;10;0.0589;-5.79;0;0.0435;0.124;Electronic
45;0.00125;0.532;-1;0.94;0.85;4;0.211;-3.4;1;0.0421;0.288;Electronic
49;0.175;0.421;458493;0.563;0.088;1;0.61;-8.368;0;0.133;0.295;Electronic
28;0.0476;0.67;342293;0.792999999999999;0.912;4;0.0714;-3.848;1;0.0308;0.670999999999999;Electronic
36;0.192;0.423;72627;0.708;0.148;7;0.596;-5.876;0;0.221;0.149;Electronic
37;0.000623;0.633;200960;0.693;0.517;9;0.124;-8.02799999999999;1;0.083;0.327;Electronic
44;0.00302;0.724;-1;0.734;0.0944;4;0.0849;-6.068;1;0.0427;0.288;Electronic
43;0.739;0.672;110013;0.581;0.893;5;0.0963;-9.891;0;0.285;0.964;Electronic
41;0.015;0.222;81800;0.601;0.963;4;0.532;-8.40899999999999;0;0.0421;0.18;Electronic
35;0.04;0.427;240844;0.437999999999999;0.00382;7;0.0942;-10.321;0;0.146;0.55;Electronic
33;0.214;0.680999999999999;219750;0.723;0.00601;9;0.244;-6.586;1;0.0738;0.705;Electronic
46;0.292;0.659;313787;0.687;0.00643;8;0.0691;-9.52;0;0.0325;0.556;Electronic
52;0.0108;0.603;167173;0.606;0.00157;11;0.108;-5.06;0;0.0688;0.402999999999999;Electronic
39;0.00198;0.614;214839;0.659;0.0000514;7;0.168999999999999;-6.76399999999999;0;0.0419;0.201999999999999;Electronic
31;0.0040799999999999;0.799;100453;0.461;0.908;9;0.106;-11.4259999999999;1;0.182;0.447;Electronic
44;0.254;0.657;293990;0.47;0.139;2;0.1;-11.241;0;0.355;0.592;Electronic
44;0.111;0.342999999999999;272903;0.739;0;1;0.0887;-2.3;1;0.103;0.318;Electronic
35;0.166;0.698;230400;0.428;0.813;6;0.0739;-9.925;0;0.0512;0.341;Electronic
43;0.311;0.807;192667;0.905;0.0863;8;0.0823;-5.454;0;0.0711;0.637;Electronic
24;0.000078;0.452;268730;0.963;0.587;9;0.218999999999999;-1.946;1;0.0578;0.299;Electronic
32;0.0251;0.504;229798;0.895999999999999;0.655999999999999;4;0.105;-6.14;0;0.0378;0.265;Electronic
40;0.0504;0.662;310760;0.449;0.869;3;0.21;-11.302;1;0.0498;0.497;Electronic
42;0.00156;0.725;115547;0.74;0.0004639999999999;10;0.337999999999999;-5.08;1;0.0323;0.827;Electronic
31;0.031;0.718;95077;0.77;0;0;0.402;-6.018;0;0.0336;0.233;Electronic
40;0.144;0.841;209747;0.898;0.0000474;6;0.122;-6.408;0;0.135;0.552;Electronic
31;0.00236;0.482;270967;0.855;0.517;5;0.223;-4.797;1;0.0275;0.245;Electronic
49;0.32;0.601;229520;0.557999999999999;0.375;6;0.0732;-8.353;0;0.0441;0.416;Electronic
51;0.252;0.743;146972;0.494;0.00245;7;0.456;-9.303;1;0.129;0.412;Electronic
49;0.0106;0.725;191790;0.75;0;3;0.196999999999999;-6.504;1;0.0385;0.207;Electronic
41;0.444;0.635;202467;0.522;0.353;8;0.118;-12.487;0;0.0371;0.491;Electronic
27;0.299;0.628;230133;0.529;0.723;7;0.0924;-10.569;0;0.0278;0.527;Electronic
34;0.0991;0.368;217013;0.883;0.298;9;0.374;-7.557;0;0.0453;0.657999999999999;Electronic
35;0.00468;0.657;-1;0.884;0.0922;4;0.242;-6.721;1;0.351;0.635;Electronic
37;0.439;0.495;309773;0.373;0.732;7;0.168999999999999;-15.35;0;0.0263;0.168999999999999;Electronic
41;0.022;0.389;187347;0.83;0.0156;9;0.166999999999999;-4.314;1;0.0345;0.634;Electronic
29;0.26;0.523;237347;0.733;0.0000162;4;0.24;-7.407;1;0.285;0.111999999999999;Electronic
28;0.000281;0.536;239398;0.889;0.682999999999999;11;0.384;-6.70799999999999;1;0.0424;0.752;Electronic
32;0.750999999999999;0.711;142107;0.677;0.546;10;0.268999999999999;-16.159;1;0.295;0.247;Electronic
34;0.247;0.575;343800;0.775999999999999;0.00000169;2;0.354;-6.55399999999999;1;0.15;0.304;Electronic
31;0.594;0.616;-1;0.750999999999999;0.568;3;0.146;-6.019;0;0.0493;0.386;Electronic
55;0.0545;0.859;233925;0.628;0.0000129;1;0.319;-7.199;0;0.257;0.677999999999999;Electronic
41;0.476;0.552999999999999;255347;0.7;0.0142;3;0.0756;-7.169;1;0.0274;0.476;Electronic
32;0.146;0.675;-1;0.92;0.0000011;6;0.696;-6.6;0;0.214;0.325;Electronic
46;0.0354;0.616;187826;0.844;0.00234;0;0.236;-4.908;0;0.0289999999999999;0.183;Electronic
42;0.00854;0.807999999999999;350560;0.582;0.338999999999999;4;0.398999999999999;-8.639;1;0.0472;0.735;Electronic
46;0.122;0.685;346067;0.488;0.122;10;0.0931;-11.317;0;0.04;0.649;Electronic
38;0.00203;0.555;343350;0.763;0.880999999999999;10;0.0847;-7.638;1;0.0332;0.376;Electronic
34;0.105;0.733;180680;0.49;0.0143;10;0.111999999999999;-13.1409999999999;1;0.0628;0.513;Electronic
31;0.0121;0.745;240560;0.724;0.0123;7;0.236;-6.386;0;0.235;0.347;Electronic
38;0.802;0.46;278533;0.174;0.0341;8;0.106;-15.814;1;0.0266;0.242;Electronic
35;0.0922;0.625;300000;0.665999999999999;0.0102;2;0.356;-6.279;1;0.132;0.322999999999999;Electronic
22;0.0434;0.780999999999999;-1;0.522;0.00275;1;0.0605;-11.043;0;0.123;0.628;Electronic
38;0.00362;0.377999999999999;217627;0.606;0.84;8;0.115999999999999;-13.003;1;0.0261;0.436;Electronic
60;0.00513;0.502;193043;0.648;0;3;0.204;-5.698;0;0.0527;0.291;Electronic
40;0.17;0.437999999999999;192693;0.457;0.648;2;0.0858;-8.314;0;0.0332;0.0504;Electronic
29;0.188999999999999;0.444;63867;0.435;0.534;3;0.132;-12.7659999999999;1;0.0357;0.145;Electronic
33;0.0257;0.733;271360;0.874;0.0000015;1;0.22;-6.63;0;0.231;0.574;Electronic
33;0.00173;0.502;300884;0.856;0.0000034;6;0.375;-7.485;0;0.0997;0.432;Electronic
37;0.964;0.515;239053;0.485;0.823;1;0.115;-11.303;0;0.0323;0.2;Electronic
28;0.000101;0.734;55573;0.86;0.376;9;0.144;-5.474;1;0.273999999999999;0.39;Electronic
39;0.557;0.552999999999999;232887;0.62;0.909;3;0.0901;-11.102;0;0.0365;0.251;Electronic
37;0.0462;0.66;-1;0.594;0.77;0;0.131;-10.545;1;0.0387;0.913;Electronic
